ISOAlpha2;CommodityName;UnitFactor;Concentration;ConcComment;UsedFactor;UsedComment
AG;"Fire, refactory and flint clay, Andalusite, kyanite and sillimanite (all Al-containing)";0;NULL;NULL;0.001;0
AG;"Fuller's earth";0;NULL;NULL;0.001;0
AG;Kaolin;0;NULL;NULL;0.001;0
AG;"Potter clay";0;NULL;NULL;0.001;0
AG;"Special clay";0;NULL;NULL;0.001;0
AG;"Slate clay";0;NULL;NULL;0.001;0
AG;"Industrial sand";0;NULL;NULL;0.001;0
AG;"Sillica sand (quartzsand)";0;NULL;NULL;0.001;0
AG;"Siliceous earth";0;NULL;NULL;0.001;0
AG;Calcite;0;NULL;NULL;0.001;0
AG;Chalk;0;NULL;NULL;0.001;0
AG;"Chert and flint";0;NULL;NULL;0.001;0
AG;Dolomite;0;NULL;NULL;0.001;0
AG;"Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.)";0;NULL;NULL;0.001;0
AG;Limestone;0;NULL;NULL;0.001;0
AG;Sandstone;0;NULL;NULL;0.001;0
AG;"Slate including fill (incl. roof slate)";0;NULL;NULL;0.001;0
AG;"Crushed stone";0;NULL;NULL;0.001;0
AG;"Peat for agricultural use";0;NULL;NULL;0.001;0
AG;"Abrasives, natural (puzzolan, pumice, volcanic cinder etc.)";0;NULL;NULL;0.001;0
AG;Amber;0;NULL;NULL;0.001;0
AG;Barite;0;NULL;NULL;0.001;0
AG;"Borate minerals";0;NULL;NULL;0.001;0
AG;Diatomite;0;NULL;NULL;0.001;0
AG;Fluorspar;0;NULL;NULL;0.001;"intead of forming sand"
AG;"Graphite, natural";0;NULL;NULL;0.001;0
AG;"Iron ore for pigments";0;NULL;NULL;0.001;0
AG;Magnesite;0;NULL;NULL;0.001;0
AG;Mica;0;NULL;NULL;0.001;0
AG;"Ochre and pigment earths";0;NULL;NULL;0.001;0
AG;"Pegmatite sand";0;NULL;NULL;0.001;0
AG;"Phosphate rock (natural phosphates)";0;NULL;NULL;0.001;P2O5
AG;Potash;0;NULL;NULL;0.001;K2O
AG;"Qartz and quartzite";0;NULL;NULL;0.001;0
AG;"Strontium minerals";0;NULL;NULL;0.001;0
AG;Sulphur;0;NULL;NULL;0.001;"elem. And ind. Sulfur"
AG;"Sulphur from pyrites";0;NULL;NULL;0.001;0
AG;"Sulphur as a by-product of natural gas etc.";0;NULL;NULL;0.001;0
AG;"Talc (steatite, soapstone, pyrophyllite)";0;NULL;NULL;0.001;0
AG;"Talcous slate";0;NULL;NULL;0.001;0
AG;Asbestos;0;NULL;NULL;0.001;fibre
AG;Gluesand;0;NULL;NULL;0.001;0
AG;"Gypsum and anhydrite";0;NULL;NULL;0.001;0
AG;Perlite;0;NULL;NULL;0.001;0
AG;"Marble, travertines etc.";0;NULL;NULL;0.001;0
AG;"Turfaceous rock";0;NULL;NULL;0.001;0
AG;Asphalt;0;NULL;NULL;0.001;0
AG;"Common clay, clay for bricks etc.";0;NULL;NULL;0.001;0
AG;Loam;0;NULL;NULL;0.001;0
AG;Lavasand;0;NULL;NULL;0.001;0
AG;"Sand and gravel";0;NULL;NULL;0.001;0
ZA;"Construction Minerals nec";0.001;1;NULL;0.001;0
AI;Cadmium;0;NULL;NULL;0.001;0
AI;Cobalt;0;NULL;NULL;0.001;0
AI;Germanium;0;NULL;NULL;0.001;0
AI;Strontium;0;NULL;NULL;0.001;0
AI;"Strontium minerals";0;NULL;NULL;0.001;0
YU;"Construction Minerals nec";0.001;1;NULL;0.001;0
AL;"Iron ores";0.001;0.46;NULL;0.001;"0"
AL;Antimony;0;NULL;NULL;0.02;"World average content"
AL;Beryllium;0;NULL;NULL;0.001;"By-product of other ores"
AL;Feldspar;0;NULL;NULL;0.001;0
AL;Arsenic;0;NULL;NULL;0.001;0
AL;"Bauxite (Aluminium)";0.001;0.395;NULL;0.001;"National metal contents"
AL;Bismuth;0;NULL;NULL;0.001;"By-product of other ores"
AL;Cadmium;0;NULL;NULL;0.001;"By-product of other ores"
AL;Chromium;0.001;0.42;NULL;0.001;"National metal contents"
AL;Cobalt;0.001;1;NULL;0.001;"By-product of other ores"
AL;Copper;0.001;0.0126;NULL;0.0793650793650794;"0"
AL;Germanium;0;NULL;NULL;0.001;"By-product of other ores"
AL;Gold;0;NULL;NULL;1e-06;0
AL;Lead;0;NULL;NULL;0.001;"By-product of zinc extraction"
AL;Lithium;0;NULL;NULL;0.001;"BGS reports lithium minerals as amblygonite, lepidolite, petalite, and spodumene"
AL;Magnesium;0;NULL;NULL;0.001;0
AL;Manganeese;0;NULL;NULL;0.001;0
AL;Mercury;0;NULL;NULL;1e-06;"By-product of other ores"
AL;Molybdenum;0;NULL;NULL;0.001;"By-product of other ores"
AL;Nickel;0.001;0.014;NULL;0.0714285714285714;"0"
AL;"Niobium + Tantalum";0;NULL;NULL;0.001;"By-product of other ores"
AL;"Platinum-group (PGM)";0;NULL;NULL;1e-06;"By-products of other ores (Copper and Nickel)"
AL;"Rare Earths Metals";0;NULL;NULL;0.001;"contained in monazite, bastnaesite, xenotime, etc"
AL;Selenium;0;NULL;NULL;0.001;"By-product of other ores"
AL;Silver;0;NULL;NULL;1e-06;"By-products of other ores"
AL;Strontium;0;NULL;NULL;0.001;0
AL;Tellurium;0;NULL;NULL;0.001;0
AL;Tin;0;NULL;NULL;0.001;0
AL;"Titanium (incl/ Ilmenite and Rutile)";0;NULL;NULL;0.001;"By-product of other ores"
AL;Tungsten;0;NULL;NULL;0.227272727272727;0
AL;Uranium;0;NULL;NULL;0.001;0
AL;Vanadium;0;NULL;NULL;0.001;"By-product of other ores"
AL;Zinc;0;NULL;NULL;0.0065;"World average grade"
AL;"Zirconium and Hafnium";0;NULL;NULL;0.001;"By-product of other ores"
AL;"Ball clay";0;NULL;NULL;0.001;0
AL;"Bentonite, sepiolite and attapulgite";0;NULL;NULL;0.001;0
AL;"Fire, refactory and flint clay, Andalusite, kyanite and sillimanite (all Al-containing)";0;NULL;NULL;0.001;0
AL;"Fuller's earth";0;NULL;NULL;0.001;0
AL;Kaolin;0.001;1;NULL;0.001;0
AL;"Potter clay";0;NULL;NULL;0.001;0
AL;"Special clay";0;NULL;NULL;0.001;0
AL;"Slate clay";0;NULL;NULL;0.001;0
AL;"Industrial sand";0;NULL;NULL;0.001;0
AL;"Siliceous earth";0;NULL;NULL;0.001;0
AL;Calcite;0;NULL;NULL;0.001;0
AL;Chalk;0;NULL;NULL;0.001;0
AL;"Chert and flint";0;NULL;NULL;0.001;0
AL;Dolomite;1;1;NULL;1;0
AL;"Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.)";1;1;NULL;1;0
AL;Limestone;0.00122;NULL;NULL;0.00122;0
AL;Sandstone;0;NULL;NULL;0.001;0
AL;"Slate including fill (incl. roof slate)";0;NULL;NULL;0.001;0
AL;"Crushed stone";1;1;NULL;1;0
AL;"Peat for agricultural use";1;1;NULL;1;0
AL;"Abrasives, natural (puzzolan, pumice, volcanic cinder etc.)";0;NULL;NULL;0.001;0
AL;Amber;0;NULL;NULL;0.001;0
AL;Barite;0;NULL;NULL;0.001;0
AL;"Borate minerals";0;NULL;NULL;0.001;0
AL;Diatomite;0;NULL;NULL;0.001;0
AL;Fluorspar;0;NULL;NULL;0.001;"intead of forming sand"
AL;"Graphite, natural";0;NULL;NULL;0.001;0
AL;"Iron ore for pigments";0;NULL;NULL;0.001;0
AL;Magnesite;0;NULL;NULL;0.001;0
AL;Mica;1;1;NULL;1;0
AL;"Ochre and pigment earths";0;NULL;NULL;0.001;0
AL;"Pegmatite sand";0;NULL;NULL;0.001;0
AL;"Phosphate rock (natural phosphates)";0;NULL;NULL;0.001;P2O5
AL;Potash;0;NULL;NULL;0.001;"K2O; BGS reports for some countries K2O content in 'potassic salts', 'nitrate', or 'chloride'"
AL;"Qartz and quartzite";0;NULL;NULL;0.001;0
AL;"Strontium minerals";0;NULL;NULL;0.001;0
AL;Sulphur;0;NULL;NULL;0.001;"elem. And ind. Sulfur"
AL;"Sulphur from pyrites";0.001;1;NULL;0.001;0
AL;"Sulphur as a by-product of natural gas etc.";0;NULL;NULL;0.001;0
AL;"Talc (steatite, soapstone, pyrophyllite)";0;NULL;NULL;0.001;0
AL;"Talcous slate";0;NULL;NULL;0.001;0
AL;Asbestos;0;NULL;NULL;0.001;"fibre; BGS reports sometimes chrysotile and Amphibole"
AL;Gluesand;0;NULL;NULL;0.001;0
AL;"Gypsum and anhydrite";0.001;NULL;NULL;0.001;0
AL;Perlite;0;NULL;NULL;0.001;0
AL;Asphalt;1;1;NULL;1;0
AL;"Common clay, clay for bricks etc.";0;NULL;NULL;1;0
AL;Loam;0;NULL;NULL;0.001;0
AL;Lavasand;0;NULL;NULL;0.001;0
AL;"Sand and gravel";0;NULL;NULL;0.001;0
YE;"Construction Minerals nec";0.001;1;NULL;0.001;0
AM;"Iron ores";0;NULL;NULL;0.001;0
AM;Antimony;0;NULL;NULL;0.02;"World average content"
AM;Beryllium;0;NULL;NULL;0.001;"By-product of other ores"
AM;Feldspar;0;NULL;NULL;0.001;0
AM;Arsenic;0;NULL;NULL;0.001;0
AM;"Bauxite (Aluminium)";0;NULL;NULL;0.001;0
AM;Bismuth;0;NULL;NULL;0.001;"By-product of other ores"
AM;Cadmium;0;NULL;NULL;0.001;"By-product of other ores"
AM;Chromium;0;NULL;NULL;0.001;0
AM;Cobalt;0;NULL;NULL;0.001;"By-product of other ores"
AM;Copper;0.001;1;NULL;0.001;"By-product of other ores"
AM;Germanium;0;NULL;NULL;0.001;"By-product of other ores"
AM;Gold;1e-06;6.4e-06;NULL;0.15625;"National metal contents "
AM;Lead;0;0.0245;NULL;0;"based on assumptions of lead/zinc coupled production"
AM;Lithium;0;NULL;NULL;0.001;"BGS reports lithium minerals as amblygonite, lepidolite, petalite, and spodumene"
AM;Magnesium;0;NULL;NULL;0.001;0
AM;Manganeese;0;NULL;NULL;0.001;0
AM;Mercury;0;NULL;NULL;1e-06;"By-product of other ores"
AM;Molybdenum;0.001;0.0005;NULL;2;"0"
AM;Nickel;0;NULL;NULL;0.001;"By-product of other ores"
AM;"Niobium + Tantalum";0;NULL;NULL;0.001;"By-product of other ores"
AM;"Platinum-group (PGM)";0;NULL;NULL;1e-06;"By-products of other ores (Copper and Nickel)"
AM;"Rare Earths Metals";0;NULL;NULL;0.001;"contained in monazite, bastnaesite, xenotime, etc"
AM;Selenium;0;NULL;NULL;0.001;"By-product of other ores"
AM;Silver;1e-06;1;NULL;1e-06;"By-products of other ores"
AM;Strontium;0;NULL;NULL;0.001;0
AM;Tellurium;0;NULL;NULL;0.001;0
AM;Tin;0;NULL;NULL;0.001;0
AM;"Titanium (incl/ Ilmenite and Rutile)";0;NULL;NULL;0.001;"By-product of other ores"
AM;Tungsten;0;NULL;NULL;0.227272727272727;0
AM;Uranium;0;NULL;NULL;0.001;0
AM;Vanadium;0;NULL;NULL;0.001;"By-product of other ores"
AM;Zinc;0.001;0.05;NULL;0.02;"based on assumptions of lead/zinc coupled production"
AM;"Zirconium and Hafnium";0;NULL;NULL;0.001;"By-product of other ores"
AM;"Ball clay";0;NULL;NULL;0.001;0
AM;"Bentonite, sepiolite and attapulgite";0.001;1;NULL;0.001;0
AM;"Fire, refactory and flint clay, Andalusite, kyanite and sillimanite (all Al-containing)";0;NULL;NULL;0.001;0
AM;"Fuller's earth";0;NULL;NULL;0.001;0
AM;Kaolin;0;NULL;NULL;0.001;0
AM;"Potter clay";0;NULL;NULL;0.001;0
AM;"Special clay";0;NULL;NULL;0.001;0
AM;"Slate clay";0;NULL;NULL;0.001;0
AM;"Industrial sand";0;NULL;NULL;0.001;0
AM;"Sillica sand (quartzsand)";0.00122;1;NULL;0.00122;0
AM;"Siliceous earth";0;NULL;NULL;0.001;0
AM;Calcite;0;NULL;NULL;0.001;0
AM;Chalk;0;NULL;NULL;0.001;0
AM;"Chert and flint";0;NULL;NULL;0.001;0
AM;Dolomite;0;NULL;NULL;0.001;0
AM;"Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.)";0;NULL;NULL;0.001;0
AM;Limestone;0;NULL;NULL;0.001;0
AM;Sandstone;0;NULL;NULL;0.001;0
AM;"Slate including fill (incl. roof slate)";0;NULL;NULL;0.001;0
AM;"Crushed stone";0;NULL;NULL;0.001;0
AM;"Peat for agricultural use";0;NULL;NULL;0.001;0
AM;"Abrasives, natural (puzzolan, pumice, volcanic cinder etc.)";0;NULL;NULL;0.001;0
